Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
ZURICH HOLDING COMPANY OF AMERICA INC,,SCHAUMBURG,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,103895,NEW BUSINESS,"HARTMANN,JUDY","BALDONADO,ERIC",WHITFIELD KARA,Financial Services Industry:2,Insurance
BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,,COLUMBIA,South Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,60639,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Insurance
CIOX HEALTH LLC,,COLUMBIA,South Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,75270,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
COLUMBUS REGIONAL HEALTHCARE SYSTEM (NC),,WHITEVILLE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65150,SOUTH EAST,"DURANGE,JASON","MERRICK,REBECCA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
COUNTRYWIDE FINANCIAL CORPORATION,,CALABASAS,California,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65437,SOUTH EAST,"THOMAS,TOM","MACDONALD,REBECCA",WHITFIELD KARA,Financial Services Industry:2,Banking
CRACKER BARREL OLD COUNTRY STORE INC,,LEBANON,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,454853,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Retail
DOLLAR GENERAL CORPORATION,,GOODLETTSVILLE,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,70068,SOUTH EAST,"CARREJO,NINA","TAFOYA,CHARITY",WHITFIELD KARA,Mfg & Dist:4,Retail
EVERBANK FINANCIAL LP,,JACKSONVILLE,Florida,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,71757,SOUTH EAST,"RENEGAR,JOHN","STRILICH,SAGE",WHITFIELD KARA,Financial Services Industry:2,Banking
FALFURRIAS CAPITAL PARTNERS,,CHARLOTTE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,71370,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Banking
FIRST CITIZENS BANCSHARES INC,,RALEIGH,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,71309,SOUTH EAST,"THOMAS,TOM","MACDONALD,REBECCA",WHITFIELD KARA,Financial Services Industry:2,Banking
HVM LLC,,CHARLOTTE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,675312,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Hotels/Tourism/Travel Services
INGERSOLL-RAND COMPANY,,DAVIDSON,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,75735,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Discrete - Machinery
METHODIST LE BONHEUR HEALTHCARE,,MEMPHIS,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,83068,SOUTH EAST,"CARREJO,NINA","TAFOYA,CHARITY",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
POLYMER GROUP INC,,CHARLOTTE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,500504327,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
QUINTILES TRANSNATIONAL HOLDINGS INC,,DURHAM,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,90065,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Banking
QUORUM HEALTH CORPORATION,,BRENTWOOD,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,601831072,SOUTH EAST,"LESTER,KARIE","HAILEY,ANTWANETTE",WHITFIELD KARA,Other Industries:5,Business Services
SITEL WORLDWIDE CORPORATION,,NASHVILLE,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,600531698,SOUTH EAST,"CARREJO,NINA","TAFOYA,CHARITY",WHITFIELD KARA,Other Industries:5,Business Services
WELLMONT HEALTH SYSTEM,,KINGSPORT,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,102254,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
WILLIS NORTH AMERICA INC,,NEW YORK,New York,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,102513,SOUTH EAST,"LESTER,KARIE","HAILEY,ANTWANETTE",WHITFIELD KARA,Financial Services Industry:2,Insurance
AHOLD USA INC,,QUINCY,Massachusetts,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,355237,NORTH EAST,"CONSTANTINO,CORY","WORTHEN,JEREMY",WHITFIELD KARA,Mfg & Dist:4,Retail
AIR PRODUCTS AND CHEMICALS INC,,ALLENTOWN,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,356117,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
ARCHDIOCESE OF PHILADELPHIA,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,56464,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Charities
DIOCESE OF PITTSBURGH,,PITTSBURGH,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,69429,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Amusement and Recreation
FOOT LOCKER INC,,NEW YORK,New York,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,71201,NORTH EAST,"BERTOTTO,DAVID","JANIS,DREW",WHITFIELD KARA,Mfg & Dist:4,Retail
GIANT EAGLE INC,,PITTSBURGH,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,72675,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Retail
HANNAFORD BROS CO,,SCARBOROUGH,Maine,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,73929,NORTH EAST,"CONSTANTINO,CORY","WORTHEN,JEREMY",WHITFIELD KARA,Mfg & Dist:4,Retail
KEYSTONE MERCY HEALTH PLAN,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,77647,NORTH EAST,"BERG,JIM","MANUELITO,MELINA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
RITE AID CORPORATION,,CAMP HILL,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,89580,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Retail
SHIRE US INC,,CHESTERBROOK,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,94776,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Health & Life Sciences:3,Pharmaceutical
THE CHILDRENS HOSPITAL OF PHILADELPHIA FOUNDAT,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,97227,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
THE DAY & ZIMMERMANN GROUP INC,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,97048,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Engineering services
UNITED STATES STEEL CORP,,PITTSBURGH,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,100761,NORTH EAST,"LUKE,BETTY","LUNGTOK,TENZIN",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
ALLIANZ OF AMERICA INC,,WESTPORT,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,356484,NORTH CENTRAL,"MORROW,KENNETH","RUSSELL,TOM",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS IN,,BOSTON,Massachusetts,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,60632,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
BODYCOTE INTERNATIONAL INC,,DALLAS,Texas,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,59677,NORTH EAST,"KUNDERT,KEN","HUBBELL,RYAN",WHITFIELD KARA,Other Industries:5,Accounting
CENVEO INC,,STAMFORD,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,62293,NORTH EAST,"BROWN,THOMAS JR","MANUELITO,MELINA",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
CITIZENS FINANCIAL GROUP INC,,PROVIDENCE,Rhode Island,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,502867440,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Financial Services Industry:2,Banking
COMPUTERSHARE INVESTOR SERVICES LLC,,CHICAGO,Illinois,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65002,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
DIAGEO NORTH AMERICA INC,,NORWALK,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,68686,NORTH EAST,"BROWN,THOMAS JR","MANUELITO,MELINA",WHITFIELD KARA,Other Industries:5,Business Services
FRC FOUNDERS CORPORATION,,GREENWICH,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,72485,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Business Services
GARTNER INC,,STAMFORD,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,72820,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
HEALTHCARE TECHNOLOGY HOLDINGS INC,,FORT WORTH,Texas,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,75454,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Research
NUANCE COMMUNICATIONS INC,,BURLINGTON,Massachusetts,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,85002,NORTH EAST,"KUNDERT,KEN","HUBBELL,RYAN",WHITFIELD KARA,Other Industries:5,Computer Software/Services
NXP SEMICONDUCTORS USA INC,,SAN JOSE,California,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,85287,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
OSRAM SYLVANIA INC,,DANVERS,Massachusetts,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,86515,NY METRO,"MAROTTI,STEVE","CAPPELLO,JOSH",WHITFIELD KARA,Mfg & Dist:4,Discrete - Energy & Nat. Res.
PARAMETRIC TECHNOLOGY CORPORATION,,NEEDHAM,Massachusetts,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,88274,NORTH EAST,"WLAZLO,MICHAEL","CHAVEZ,JOHNNY",WHITFIELD KARA,Other Industries:5,Computer Software/Services
PITNEY BOWES INC,,STAMFORD,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,88609,NORTH EAST,"BROWN,THOMAS JR","MANUELITO,MELINA",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
RBC BEARINGS INCORPORATED,,OXFORD,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,89056,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Discrete - Machinery
SABIC INNOVATIVE PLASTICS HOLDING US LP,,PLAINFIELD,Illinois,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,455361,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
SMITH CDM INC,,CAMBRIDGE,Massachusetts,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,94453,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Engineering services
SYNCHRONY FINANCIAL,,Alpharetta,Georgia,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,602596625,NORTH EAST,"BERTOTTO,DAVID","JANIS,DREW",WHITFIELD KARA,Financial Services Industry:2,Banking
TEREX CORPORATION,,WESTPORT,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,96890,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Discrete - Machinery
TRAVELERS COMPANIES INC,,NEW YORK,New York,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,99257,NORTH EAST,"WLAZLO,MICHAEL","CHAVEZ,JOHNNY",WHITFIELD KARA,Financial Services Industry:2,Insurance
WR BERKLEY CORPORATION,,GREENWICH,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,101976,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Financial Services Industry:2,Insurance
ACE US HOLDINGS INC,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,355294,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Financial Services Industry:2,Insurance
ASCENA RETAIL GROUP INC,,SUFFERN,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,57021,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Retail
AVON PRODUCTS INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,58976,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
BARNES & NOBLE INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,58216,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Retail
BENESSE HOLDINGS INTERNATIONAL INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,58265,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Public Sector & Education:6,Education
BROWN BROTHERS HARRIMAN & CO,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,60700,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
COACH INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,64648,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
COLGATE-PALMOLIVE COMPANY,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,64082,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
D&M HOLDINGS US INC,,MAHWAH,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,455834,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
DOW JONES & COMPANY INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,68874,NY METRO,"LULL,TIM","GASPAR,MAGGIE",WHITFIELD KARA,CME:1,Media & Entertainment
EMBLEMHEALTH INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,68989,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
HARPERCOLLINS PUBLISHERS LLC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,74096,NY METRO,"LULL,TIM","GASPAR,MAGGIE",WHITFIELD KARA,CME:1,Media & Entertainment
INFOR LUX BOND COMPANY,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,602530365,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Other Industries:5,Business Services
IQOR US INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,78872,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Other Industries:5,Business Services
LIBERTY HEALTHCARE SYSTEM INC,,JERSEY CITY,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,79619,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
MARSH & MCLENNAN COMPANIES INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83024,NY METRO,"LUFF,MARTY","SHAW,JR",WHITFIELD KARA,Financial Services Industry:2,Insurance
MASTERCARD INCORPORATED,,PURCHASE,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82047,NY METRO,"LULL,TIM","GASPAR,MAGGIE",WHITFIELD KARA,Financial Services Industry:2,Banking
MONTEFIORE MEDICAL CENTER,,BRONX,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83830,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
MOUNT VERNON HOSPITAL RADIOLOGY ASSOCIATES PC ,,MOUNT VERNON,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,84926,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
MTV NETWORKS INC ,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,602512538,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
NORTHERN WESTCHESTER HOSPITAL ASSOCIATION,,MT KISCO,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,700001934,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
PHELPS MEMORIAL HOSPITAL ASSOCIATION,,SLEEPY HOLLOW,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,700001932,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,,NEW BRUNSWICK,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,90358,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
SUTHERLAND GLOBAL SERVICES INC,,PITTSFORD,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,95791,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,CME:1,Media & Entertainment
THE ESTEE LAUDER COMPANIES INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,96909,NY METRO,"MAROTTI,STEVE","CAPPELLO,JOSH",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
THE MCGRAW-HILL COMPANIES INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,98330,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,CME:1,Media & Entertainment
TIME INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,502829092,NY METRO,"DIMARCO,SUSAN","SANCHEZ,RICOH",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
UNILEVER UNITED STATES INC,,ENGLEWOOD CLIFFS,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,97859,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
VIACOM INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,602512537,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,CME:1,Media & Entertainment
WEIGHT WATCHERS INTERNATIONAL INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,102121,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Other Industries:5,Personal Services
WHITE PLAINS HOSPITAL MEDICAL CENTER,,WHITE PLAINS,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,700001922,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
XYLEM INC,,WHITE PLAINS,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,457145,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Mfg & Dist:4,Discrete - Machinery
ZOETIS INC,,MADISON,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,774165,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Health & Life Sciences:3,Pharmaceutical
JOHN MEZZALINGUA ASSOCIATES LLC,,LIVERPOOL,New York,,,,COMMERCIAL,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,601370058,NORTH EAST,Wieloszynski John,"klees, kris",WHITFIELD KARA,CME:1,Network Equipment Providers
CHARLESBANK CAPITAL PARTNERS LLC,,BOSTON,Massachusetts,,,,COMMERCIAL,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,61253,NORTH EAST,Howes Paul,Benavente Scott,WHITFIELD KARA,Financial Services Industry:2,Banking
GILBERT GLOBAL EQUITY CAPITAL LLC,,NEW YORK,New York,,,,COMMERCIAL,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,72921,LIBERTY,Schlaffer Felice,Dixon Rose,WHITFIELD KARA,Other Industries:5,Business Services
SENTRY INSURANCE A MUTUAL COMPANY,,STEVENS POINT,Wisconsin,,,,COMMERCIAL,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,92675,NORTH CENTRAL,Huffman Todd,Arguelles Maria,WHITFIELD KARA,Financial Services Industry:2,Insurance
WEXFORD CAPITAL LP,,GREENWICH,Connecticut,,,,COMMERCIAL,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,103427,LIBERTY,McGrade Greg,Vigil Erik,WHITFIELD KARA,Other Industries:5,Business Services
WINNEBAGO INDUSTRIES INC,,FOREST CITY,Iowa,,,,COMMERCIAL,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,103017,NORTH CENTRAL,Mitchell Vicky,Wilson Colby,WHITFIELD KARA,Mfg & Dist:4,Automotive
LOGISTICS MANAGEMENT INSTITUTE,,MC LEAN,Virginia,,,,COMMERCIAL,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,80951,MID ATLANTIC,Montano Andre,Wunsch Thomas,WHITFIELD KARA,Other Industries:5,Business Consultancy
SGT INC,,GREENBELT,Maryland,,,,COMMERCIAL,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,601970089,LIBERTY,McClughan Rob,Lindell Michael,WHITFIELD KARA,Other Industries:5,Computer Software/Services
