Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
TRINITY SERVICES GROUP INC,,OLDSMAR,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,602530366,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Computer Software/Services
EXLSERVICE HOLDINGS INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,70552,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Other Industries:5,Business Services
CME GROUP INC,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,64432,NORTH CENTRAL,"HAMLIN,HOLLY","NIDEL,MATHEW",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
ITT CORPORATION,,WHITE PLAINS,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,77350,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
CARDINAL HEALTH INC,,DUBLIN,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,62534,MID ATLANTIC,"JOHNSON,TRACY","STEVENSON,SARA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
ALBERT EINSTEIN HEALTHCARE NETWORK,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,355867,NORTH EAST,"BERG,JIM","MANUELITO,MELINA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
TLB HOLDINGS LLC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,515468,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Retail
ALCOA CORPORATION,,NEW KENSINGTON,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,355984,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
MARKEL CORPORATION,,GLEN ALLEN,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82770,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Insurance
LOWES COMPANIES INC,,MOORESVILLE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,80139,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Retail
EXPRESS LLC,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,70781,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
ARAMARK HOLDINGS CORPORATION,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,56396,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Retail
CAREALLIANCE HEALTH SERVICES,,CHARLESTON,South Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,62567,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
